"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala",0.00760189,0.00810624,0.00363967,0.03359921,0.01181147,0.01379159,0.00730217,0.00897292,0.03055566,0.01680434,0.01374797,0.02841966,0.00804935,0.0104398,0.01089193,0.03373541,0.01075676,0.01413813,0.03817413,0.00896244,0.03459848,0.01316949,0.02865246,0.00134962,0.00934189,0.0219173
"Asp",0.018054,0.02030004,0.0196879,0.56057196,0.31637677,0.45990715,0.02829929,0.02830692,0.04086459,0.46861022,0.46949462,0.56071398,0.0252103,0.02670488,0.02657873,0.0430903,0.31051267,0.47548745,0.5529624,0.02101581,0.55682288,0.33967642,0.03908225,0.0322847,0.03115455,0.03843785
"Glu",0.20299706,0.20178763,0.20822543,0.61869279,0.34485043,0.50694222,0.27738492,0.31653163,0.44651881,0.5035835,0.50874399,0.62526546,0.26380804,0.30810005,0.31356847,0.45679298,0.34918808,0.52591055,0.60379409,0.20492224,0.61110138,0.36511726,0.44116144,0.30356335,0.34979711,0.43412761
"Gly",0.01542007,0.01167577,0.01458031,0.01732435,0.01319386,0.01584606,0.01721611,0.01279841,0.01146428,0.01813341,0.01736944,0.01795106,0.01406896,0.01410458,0.01168919,0.01379269,0.01609625,0.01624515,0.01874832,0.0106492,0.02054148,0.01429302,0.01664958,0.01724249,0.01183277,0.01286992
"Orn",0.01769027,0.02322724,0.01793998,0.05939194,0.05388207,0.10674956,0.02032033,0.02710022,0.04442862,0.14685815,0.1475849,0.12683874,0.02221323,0.02971664,0.02487775,0.04885929,0.05768694,0.08810504,0.06121221,0.02147928,0.09219355,0.09105965,0.03949302,0.02795768,0.03331783,0.05685327
"Pro",0.01152441,0.01200007,0.013147,0.55888301,0.23281113,0.41268784,0.05826401,0.10613707,0.27229056,0.4273654,0.42880778,0.56284325,0.05376383,0.10149034,0.09847682,0.29808325,0.24466657,0.42506587,0.54972964,0.01172715,0.55544772,0.26603395,0.27888439,0.076137,0.12854832,0.30607354
"Ser",0.01116047,0.01303949,0.01347903,0.01377263,0.03856362,0.01391389,0.01158842,0.01312546,0.01338114,0.0134474,0.0139082,0.01733297,0.01332802,0.01248869,0.01318685,0.01315146,0.0144433,0.01338864,0.01498655,0.01295315,0.01552949,0.01352456,0.01520808,0.01326024,0.01271577,0.01382746
