"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C",0.49222266,0.26339054,0.11083624,0.49774232,0.48523649,0.71760955,0.86502923
"Gly_N",0.50505051,0.50505051,0.50505051,0.50505051,0.50505051,0.50505051,0.50505051
"Asn_C",0.49743699,0.19532775,0.06424727,0.50252696,0.49292622,0.79734494,0.92711967
"Asn_N",0.50505051,0.50505051,0.50505051,0.50505051,0.50505051,0.50505051,0.50505051
"Arg_C",0.49962739,0.22581973,0.07430676,0.50155442,0.49749482,0.77403761,0.9243231
"Arg_N",0.50505051,0.50505051,0.50505051,0.50505051,0.50505051,0.50505051,0.50505051
