"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C",0.48730043,0.26075664,0.10972788,0.4927649,0.48038413,0.71043345,0.85637894
"Gly_N",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Asn_C",0.49246262,0.19337447,0.0636048,0.4975017,0.48799696,0.78937149,0.91784848
"Asn_N",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Arg_C",0.49463112,0.22356153,0.0735637,0.49653887,0.49251987,0.76629723,0.91507987
"Arg_N",0.5,0.5,0.5,0.5,0.5,0.5,0.5
