"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Glu_3.3",18596.36673382,-328.48198022,-3756.72523142,-243032.26472047,-203841.43783396,-269448.73631026,23020.91287571,-5637.1633344,-5352.45412381,-366613.06613432,-223384.21560911,-215023.00283538,-1493.02959044,-1107.56214725,-516.93280063,-9571.93578726,-183174.60480484,-285332.39449104,-354538.18790589,-1411.29640319,-309609.98545687,-205579.22495432,-1734.14522255,1498.23219562,1470.92080266,-6539.63281405
"Glu_4.3",74772.79618603,102887.76799205,83585.18353418,5407341.55415152,4535366.02856146,5995094.31490456,118323.96143067,240136.03378253,429817.6794824,8156950.1443896,4970182.67510273,4784150.03731077,118603.71010626,253503.80745749,169337.24388756,622921.16151296,4075539.73693865,6348497.45259758,7888290.38071166,126280.52421188,6888661.2313256,4574030.88863246,256007.69702946,221269.33380429,375640.60696074,349057.93956116
"Glu_4.4",-748.57855725,13.40034258,151.22873241,9783.37755991,8205.73248157,10846.78498716,-926.71762202,226.92664832,215.4655458,14758.18055893,8992.43614729,8655.85161388,60.10260493,44.5854326,20.80937182,385.32275496,7373.77944552,11486.18908108,14272.10068458,56.8996581,12463.49486776,8275.68791542,69.80882755,-60.31203823,-59.21260533,263.2559796
"Glu_5.4",-3010.61217316,-4145.73667666,-3364.76068258,-217675.06499825,-182573.28211494,-241335.32746153,-4763.1864452,-9666.78842802,-17302.51185019,-328361.84566599,-200077.0297237,-192588.19882268,-4774.44785906,-10204.91441367,-6816.75000566,-25075.98289533,-164062.75953846,-255561.73616858,-317546.82114139,-5085.42311288,-277306.28188792,-184129.75415298,-10305.70966026,-8907.30059043,-15121.58843996,-14051.49072261
"Gly_0.0",-1.81099647,-15.08284027,-7.11140908,0,0,0,-2.5998508,0,-326.89408095,0,0,0,-6.98122193,0,-123.43465126,0,0,0,0,-32.47054919,0,0,0,-6.19652696,-0.60153663,0
"Gly_1.1",-26.78254777,-223.05780131,-105.16953351,0,0,0,-38.44879294,0,4622.82886243,0,0,0,-103.24421579,0,1745.57234816,0,0,0,0,425.7993476,0,0,0,-91.63948274,-8.89603255,0
"Gly_2.2",445.89176077,3713.59874413,1750.92485116,0,0,0,640.11833863,0,-93.28747626,0,0,0,1718.87101834,0,-35.22519302,0,0,0,0,275.21632101,0,0,0,1525.66853086,148.10643293,0
"Orn_0.0",3.73349328,32.51962829,0,0,0,0,1e-08,-0.01422377,-0.00531408,0,0,0,1e-08,-0.00277781,1e-08,-0.01885737,0,0,0,22.58866581,0,0,-1e-08,4e-08,0,-0.03324129
"Orn_1.1",-4.57531495,-39.85209864,0,0,0,0,0,3.62183419,1.35313388,0,0,0,0,0.70732838,0,4.80169354,0,0,0,-27.68191968,0,0,0,0,0,8.46430663
"Orn_2.2",-552.14242429,-4809.29390838,0,0,0,0,0,-10.40506965,-3.88738179,0,0,0,0,-2.03206457,0,-13.79465568,0,0,0,-3340.61422658,0,0,0,0,0,-24.31687794
"Orn_3.3",4241.42813357,36943.86373539,0,0,0,0,0,-497.59026264,-185.90200642,0,0,0,0,-97.17720091,0,-659.68672721,0,0,0,25661.81213511,0,0,0,0,0,-1162.87945156
"Orn_4.4",-171.0332253,-1489.74071251,0,0,0,0,0,4172.80183535,1558.97792185,0,0,0,0,814.92993885,0,5532.14601,0,0,0,-1034.79827038,0,0,0,0,0,9751.93020064
"Orn_5.5",4.30760275,37.52026066,0,0,0,0,0,-209.61354227,-78.31258167,0,0,0,0,-40.93660757,0,-277.8978651,0,0,0,26.06218687,0,0,0,0,0,-489.87148539
"Pro_0.0",0.85766081,0,-0.18605124,0,0.03050483,0.22586236,0,0,0,0.25861881,0.25140885,0.31110628,0,0.00459391,0.01398081,0.03212236,0.02611976,0.16920369,0,-1.00550212,0,0.05662197,0.05638341,0,0.00246392,0.09552367
"Pro_1.1",-53.13835214,0,-46.2685956,0,1.11935219,8.28785177,0,0,0,9.48982547,9.22526145,11.4158143,0,0.16856996,0.51301561,1.17870592,0.95844531,6.20880398,0,-72.703361,0,2.07770121,2.06894729,0,0.09041181,3.50517025
"Pro_2.2",145.00156574,0,369.32970357,0,-10.39743754,-76.98418967,0,0,0,-88.14908188,-85.69159983,-106.03920509,0,-1.56581244,-4.76529894,-10.94876241,-8.90280587,-57.67233259,0,765.46856672,0,-19.29934908,-19.21803566,0,-0.83981715,-32.55882208
"Pro_3.3",3971.69207197,0,1179.46651873,0,-225.62485353,-1670.56031375,0,0,0,-1912.83896738,-1859.5114985,-2301.05543054,0,-33.97819896,-103.40719729,-237.58862745,-193.19128031,-1251.49216273,1e-08,145.97443048,0,-418.79672684,-417.03222203,0,-18.22406928,-706.5278762
"Pro_4.4",-167.69803185,0,185.09112766,0,3181.38419255,23555.4465371,0,0,0,26971.65475519,26219.72001108,32445.63379537,0,479.10371301,1458.07528609,3350.07731579,2724.06020737,17646.44861258,0,112.47050372,0,5905.1707549,5880.29066026,0,256.96533441,9962.27402134
"Pro_5.5",121.64867449,0,-10.53872363,0,-160.20372655,-1186.17246061,0,0,0,-1358.2011293,-1320.33624381,-1633.85216301,0,-24.12603935,-73.42373014,-168.69854056,-137.17444048,-888.61535013,0,-5.82826347,0,-297.3643872,-296.11150995,0,-12.93990341,-501.66635859
"Ser_0.0",-13.64651996,-24.13233955,-12.91682153,0,0,0,-2.24160196,-34.72864668,-1.14157755,0,-13.19355314,0.42647936,-18.63761434,0,-16.22839653,-17.30548674,0,0.54083161,0,-24.06539473,0.30718011,0.71720942,0,-12.19024426,-15.05230035,-12.07964633
"Ser_1.1",-185.75486018,-360.44463367,-175.84412352,0,0,0,-30.04699546,-465.51149852,-15.30199205,0,-176.84969854,-5.83481307,-249.82326147,0,-217.52950114,-231.96708873,0,-7.39930606,0,-322.57859252,-4.20263834,-9.8123924,0,-163.40109443,-201.76481268,-167.80350319
"Ser_2.2",2575.37914017,4615.36192121,2437.71176954,0,0,0,422.14666988,6540.22559968,214.98605397,0,2484.65812196,-58.233705,3509.90361198,0,3056.19091383,3259.03247673,0,-73.84795376,0,4532.08304282,-41.94396604,-97.93149448,0,2295.71132866,2834.70418494,2286.1330338
"Ser_3.3",157.07936983,2926.27234768,150.48963575,0,0,0,-12.77023449,-197.84643699,-6.50347976,0,-75.16266054,959.74717392,-106.17705968,0,-92.45193057,-98.58803091,0,1217.08493259,0,-137.09870837,691.27669047,1614.0047257,0,-69.44688678,-85.75180082,418.88904864
