"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C",0.4866746,0.25534222,0.10112109,0.49225456,0.4796121,0.7145241,0.86355451
"Gly_N",0.50320383,0.50320383,0.50320383,0.50320383,0.50320383,0.50320383,0.50320383
"Asn_C",0.4919459,0.18653576,0.05402308,0.49709149,0.48738584,0.79513069,0.92632337
"Asn_N",0.50320383,0.50320383,0.50320383,0.50320383,0.50320383,0.50320383,0.50320383
"Arg_C",0.49416024,0.2173609,0.06419248,0.49610831,0.49200436,0.7715687,0.92349624
"Arg_N",0.50320383,0.50320383,0.50320383,0.50320383,0.50320383,0.50320383,0.50320383
