"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C",0.48175521,0.25276118,0.10009894,0.48727878,0.4747641,0.70730158,0.85482557
"Gly_N",0.4981532,0.4981532,0.4981532,0.4981532,0.4981532,0.4981532,0.4981532
"Asn_C",0.48697324,0.18465023,0.053477,0.49206681,0.48245927,0.78709339,0.91695995
"Asn_N",0.4981532,0.4981532,0.4981532,0.4981532,0.4981532,0.4981532,0.4981532
"Arg_C",0.48916519,0.21516378,0.06354361,0.49109357,0.4870311,0.76376956,0.9141614
"Arg_N",0.4981532,0.4981532,0.4981532,0.4981532,0.4981532,0.4981532,0.4981532
