"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala",0.00752587,0.00802518,0.00360328,0.03326321,0.01169335,0.01365367,0.00723108,0.00887977,0.03025011,0.0166363,0.01361049,0.02813547,0.00796556,0.0103354,0.01077969,0.03339806,0.01064193,0.01399675,0.03779239,0.00887282,0.0342525,0.01303779,0.02836593,0.00170152,0.00924847,0.02169813
"Asp",0.01785374,0.02008222,0.01949102,0.55496624,0.313213,0.45530807,0.0280163,0.02802385,0.04045594,0.46392411,0.46479967,0.55510684,0.0249582,0.02643783,0.02631295,0.0426594,0.30740754,0.47073257,0.54743277,0.02079775,0.55125465,0.33627965,0.03869143,0.03196185,0.030843,0.03805348
"Glu",0.19833296,0.19709014,0.20364165,0.61022012,0.33903766,0.49923732,0.27074053,0.30955911,0.4380698,0.49595917,0.50099092,0.61673064,0.25755258,0.30120634,0.30656832,0.44832973,0.34328731,0.51803656,0.59544315,0.20019256,0.60272973,0.35900146,0.43274701,0.29664193,0.34234703,0.42579209
"Gly",0.01526587,0.01155901,0.01443451,0.0171511,0.01306192,0.01568759,0.01704395,0.01267043,0.01134963,0.01795207,0.01719575,0.01777155,0.01392827,0.01396354,0.0115723,0.01365477,0.01593529,0.0160827,0.01856084,0.0105427,0.02033606,0.01415009,0.01648308,0.01707006,0.01171444,0.01274122
"Orn",0.01751336,0.02299989,0.01776058,0.05879801,0.05334324,0.10568206,0.02011712,0.026822,0.04398433,0.14538956,0.14610905,0.12557035,0.0219911,0.02941946,0.02462897,0.04837069,0.05711007,0.08722399,0.06060008,0.02126726,0.09127161,0.09014905,0.03909809,0.0276781,0.03298465,0.05628473
"Pro",0.01142529,0.01188006,0.0129654,0.55329418,0.23048301,0.40856095,0.05768137,0.1050757,0.26956764,0.42309173,0.4245197,0.55721481,0.05322619,0.10047544,0.09749204,0.29510241,0.24221989,0.4208152,0.54423234,0.01161015,0.54989324,0.2633736,0.27609554,0.07537563,0.12726283,0.30291714
"Ser",0.01104886,0.01290909,0.01334424,0.0136349,0.03817798,0.01377475,0.01147253,0.01300082,0.01324733,0.01331292,0.01376912,0.01715964,0.01319474,0.0123638,0.01305148,0.01301995,0.01429887,0.01325475,0.01483668,0.01282362,0.01537419,0.01338931,0.015056,0.01312764,0.01258861,0.01368918
